;roll_start;roll_end
48;2018-01-01 04:01:10;2018-01-01 04:03:52
49;2018-01-01 04:06:09;2018-01-01 04:08:59
50;2018-01-01 04:11:04;2018-01-01 04:13:56
51;2018-01-01 04:15:50;2018-01-01 04:18:59
52;2018-01-01 04:21:00;2018-01-01 04:24:00
53;2018-01-01 04:26:02;2018-01-01 04:29:00
54;2018-01-01 04:31:10;2018-01-01 04:34:03
55;2018-01-01 04:35:52;2018-01-01 04:38:50
56;2018-01-01 04:40:34;2018-01-01 04:44:13
57;2018-01-01 04:46:03;2018-01-01 04:49:09
58;2018-01-01 04:50:53;2018-01-01 04:54:06
59;2018-01-01 04:55:58;2018-01-01 04:58:58
60;2018-01-01 05:00:59;2018-01-01 05:03:56
61;2018-01-01 05:05:50;2018-01-01 05:08:57
62;2018-01-01 05:11:00;2018-01-01 05:13:51
63;2018-01-01 05:16:17;2018-01-01 05:18:39
64;2018-01-01 05:21:08;2018-01-01 05:24:01
65;2018-01-01 05:25:45;2018-01-01 05:29:04
66;2018-01-01 05:31:01;2018-01-01 05:34:16
67;2018-01-01 05:35:53;2018-01-01 05:38:48
68;2018-01-01 05:40:38;2018-01-01 05:44:07
69;2018-01-01 05:45:50;2018-01-01 05:48:59
70;2018-01-01 05:51:07;2018-01-01 05:53:34
71;2018-01-01 05:56:12;2018-01-01 05:58:51
72;2018-01-01 06:01:01;2018-01-01 06:04:08
73;2018-01-01 06:05:51;2018-01-01 06:09:00
74;2018-01-01 06:11:03;2018-01-01 06:13:57
75;2018-01-01 06:16:13;2018-01-01 06:19:12
76;2018-01-01 06:21:04;2018-01-01 06:24:03
77;2018-01-01 06:26:08;2018-01-01 06:28:54
78;2018-01-01 06:31:04;2018-01-01 06:34:02
79;2018-01-01 06:36:11;2018-01-01 06:38:49
80;2018-01-01 06:41:15;2018-01-01 06:43:55
81;2018-01-01 06:45:49;2018-01-01 06:48:52
82;2018-01-01 06:51:08;2018-01-01 06:54:02
83;2018-01-01 06:55:39;2018-01-01 06:58:59
84;2018-01-01 07:00:53;2018-01-01 07:04:00
85;2018-01-01 07:06:03;2018-01-01 07:08:48
86;2018-01-01 07:10:52;2018-01-01 07:13:57
87;2018-01-01 07:16:05;2018-01-01 07:18:56
88;2018-01-01 07:21:02;2018-01-01 07:23:55
89;2018-01-01 07:25:47;2018-01-01 07:28:50
90;2018-01-01 07:30:56;2018-01-01 07:34:03
91;2018-01-01 07:35:50;2018-01-01 07:39:08
92;2018-01-01 07:41:01;2018-01-01 07:44:01
93;2018-01-01 07:46:01;2018-01-01 07:48:46
94;2018-01-01 07:51:02;2018-01-01 07:54:14
95;2018-01-01 07:56:01;2018-01-01 07:58:48
96;2018-01-01 08:00:59;2018-01-01 08:03:41
97;2018-01-01 08:06:10;2018-01-01 08:09:08
98;2018-01-01 08:11:03;2018-01-01 08:14:15
99;2018-01-01 08:16:11;2018-01-01 08:19:00
100;2018-01-01 08:20:54;2018-01-01 08:23:59
101;2018-01-01 08:25:52;2018-01-01 08:28:29
102;2018-01-01 08:30:56;2018-01-01 08:33:57
103;2018-01-01 08:35:48;2018-01-01 08:39:08
104;2018-01-01 08:40:54;2018-01-01 08:43:58
105;2018-01-01 08:46:12;2018-01-01 08:49:03
106;2018-01-01 08:50:59;2018-01-01 08:54:15
107;2018-01-01 08:55:58;2018-01-01 08:58:56
108;2018-01-01 09:01:04;2018-01-01 09:03:55
109;2018-01-01 09:06:07;2018-01-01 09:09:08
110;2018-01-01 09:11:07;2018-01-01 09:14:00
111;2018-01-01 09:16:12;2018-01-01 09:19:01
112;2018-01-01 09:21:01;2018-01-01 09:23:54
113;2018-01-01 09:26:01;2018-01-01 09:29:09
114;2018-01-01 09:31:09;2018-01-01 09:33:55
115;2018-01-01 09:35:57;2018-01-01 09:39:04
116;2018-01-01 09:40:51;2018-01-01 09:43:54
117;2018-01-01 09:45:58;2018-01-01 09:48:55
118;2018-01-01 09:50:49;2018-01-01 09:53:48
119;2018-01-01 09:55:58;2018-01-01 09:58:57
120;2018-01-01 10:01:00;2018-01-01 10:03:54
121;2018-01-01 10:05:52;2018-01-01 10:09:15
122;2018-01-01 10:10:57;2018-01-01 10:13:59
123;2018-01-01 10:16:02;2018-01-01 10:19:15
124;2018-01-01 10:21:09;2018-01-01 10:23:40
125;2018-01-01 10:25:59;2018-01-01 10:28:41
126;2018-01-01 10:31:00;2018-01-01 10:34:05
127;2018-01-01 10:35:55;2018-01-01 10:39:11
128;2018-01-01 10:40:52;2018-01-01 10:43:59
129;2018-01-01 10:46:05;2018-01-01 10:49:03
130;2018-01-01 10:50:42;2018-01-01 10:54:04
131;2018-01-01 10:56:04;2018-01-01 10:59:08
132;2018-01-01 11:01:02;2018-01-01 11:03:57
133;2018-01-01 11:06:06;2018-01-01 11:09:06
134;2018-01-01 11:10:55;2018-01-01 11:13:51
135;2018-01-01 11:15:52;2018-01-01 11:19:17
136;2018-01-01 11:21:03;2018-01-01 11:23:53
137;2018-01-01 11:26:18;2018-01-01 11:28:58
138;2018-01-01 11:31:00;2018-01-01 11:33:52
139;2018-01-01 11:35:53;2018-01-01 11:38:38
140;2018-01-01 11:40:55;2018-01-01 11:44:07
141;2018-01-01 11:45:51;2018-01-01 11:48:52
142;2018-01-01 11:50:55;2018-01-01 11:53:59
143;2018-01-01 11:56:07;2018-01-01 11:59:06
144;2018-01-01 12:01:10;2018-01-01 12:04:04
145;2018-01-01 12:05:47;2018-01-01 12:08:45
146;2018-01-01 12:10:51;2018-01-01 12:13:56
147;2018-01-01 12:16:06;2018-01-01 12:18:46
148;2018-01-01 12:21:13;2018-01-01 12:23:59
149;2018-01-01 12:25:55;2018-01-01 12:28:59
150;2018-01-01 12:31:06;2018-01-01 12:34:03
151;2018-01-01 12:35:51;2018-01-01 12:38:54
152;2018-01-01 12:40:44;2018-01-01 12:43:55
153;2018-01-01 12:45:50;2018-01-01 12:49:05
154;2018-01-01 12:50:44;2018-01-01 12:53:55
155;2018-01-01 12:55:56;2018-01-01 12:59:00
156;2018-01-01 13:00:58;2018-01-01 13:04:12
157;2018-01-01 13:06:03;2018-01-01 13:08:52
158;2018-01-01 13:10:55;2018-01-01 13:14:01
159;2018-01-01 13:16:01;2018-01-01 13:18:58
160;2018-01-01 13:20:42;2018-01-01 13:24:09
161;2018-01-01 13:25:48;2018-01-01 13:28:57
162;2018-01-01 13:30:53;2018-01-01 13:34:03
163;2018-01-01 13:36:17;2018-01-01 13:39:00
164;2018-01-01 13:41:00;2018-01-01 13:44:00
165;2018-01-01 13:45:44;2018-01-01 13:49:09
166;2018-01-01 13:51:12;2018-01-01 13:54:08
167;2018-01-01 13:56:05;2018-01-01 13:59:22
168;2018-01-01 14:01:05;2018-01-01 14:03:59
169;2018-01-01 14:05:47;2018-01-01 14:08:58
170;2018-01-01 14:11:11;2018-01-01 14:13:51
171;2018-01-01 14:15:58;2018-01-01 14:19:11
172;2018-01-01 14:21:34;2018-01-01 14:24:13
173;2018-01-01 14:25:59;2018-01-01 14:28:52
174;2018-01-01 14:30:55;2018-01-01 14:34:08
175;2018-01-01 14:36:16;2018-01-01 14:38:56
176;2018-01-01 14:40:45;2018-01-01 14:44:00
177;2018-01-01 14:45:41;2018-01-01 14:49:04
178;2018-01-01 14:50:49;2018-01-01 14:54:01
179;2018-01-01 14:56:09;2018-01-01 14:59:17
180;2018-01-01 15:00:55;2018-01-01 15:03:56
181;2018-01-01 15:06:02;2018-01-01 15:08:54
182;2018-01-01 15:10:51;2018-01-01 15:14:04
183;2018-01-01 15:15:54;2018-01-01 15:19:01
184;2018-01-01 15:20:55;2018-01-01 15:23:57
185;2018-01-01 15:26:00;2018-01-01 15:28:59
186;2018-01-01 15:30:54;2018-01-01 15:33:54
187;2018-01-01 15:36:08;2018-01-01 15:38:59
188;2018-01-01 15:40:57;2018-01-01 15:44:05
189;2018-01-01 15:46:03;2018-01-01 15:49:11
190;2018-01-01 15:51:02;2018-01-01 15:54:04
191;2018-01-01 15:56:09;2018-01-01 15:58:56
192;2018-01-01 16:01:03;2018-01-01 16:04:01
193;2018-01-01 16:06:17;2018-01-01 16:09:02
194;2018-01-01 16:11:16;2018-01-01 16:14:09
195;2018-01-01 16:16:04;2018-01-01 16:18:50
196;2018-01-01 16:21:03;2018-01-01 16:23:50
197;2018-01-01 16:26:05;2018-01-01 16:29:03
198;2018-01-01 16:31:17;2018-01-01 16:33:38
199;2018-01-01 16:35:57;2018-01-01 16:39:09
200;2018-01-01 16:40:51;2018-01-01 16:44:22
201;2018-01-01 16:46:13;2018-01-01 16:49:08
202;2018-01-01 16:51:06;2018-01-01 16:53:53
203;2018-01-01 16:56:17;2018-01-01 16:58:49
204;2018-01-01 17:00:42;2018-01-01 17:04:19
205;2018-01-01 17:05:54;2018-01-01 17:09:06
206;2018-01-01 17:10:48;2018-01-01 17:14:05
207;2018-01-01 17:15:52;2018-01-01 17:19:03
208;2018-01-01 17:20:44;2018-01-01 17:24:01
209;2018-01-01 17:26:07;2018-01-01 17:28:53
210;2018-01-01 17:30:59;2018-01-01 17:34:07
211;2018-01-01 17:36:01;2018-01-01 17:39:14
212;2018-01-01 17:41:00;2018-01-01 17:43:52
213;2018-01-01 17:46:03;2018-01-01 17:48:56
214;2018-01-01 17:50:51;2018-01-01 17:53:58
215;2018-01-01 17:55:48;2018-01-01 17:58:48
216;2018-01-01 18:01:01;2018-01-01 18:03:51
217;2018-01-01 18:06:10;2018-01-01 18:08:50
218;2018-01-01 18:10:54;2018-01-01 18:13:57
219;2018-01-01 18:15:41;2018-01-01 18:18:57
220;2018-01-01 18:20:52;2018-01-01 18:23:52
221;2018-01-01 18:26:04;2018-01-01 18:28:52
222;2018-01-01 18:30:48;2018-01-01 18:33:52
223;2018-01-01 18:35:53;2018-01-01 18:39:14
224;2018-01-01 18:41:00;2018-01-01 18:43:51
225;2018-01-01 18:46:10;2018-01-01 18:48:42
226;2018-01-01 18:51:04;2018-01-01 18:53:54
227;2018-01-01 18:55:59;2018-01-01 18:59:01
228;2018-01-01 19:00:55;2018-01-01 19:03:51
229;2018-01-01 19:05:49;2018-01-01 19:08:54
230;2018-01-01 19:11:10;2018-01-01 19:13:34
231;2018-01-01 19:16:01;2018-01-01 19:19:03
232;2018-01-01 19:20:58;2018-01-01 19:23:57
233;2018-01-01 19:25:59;2018-01-01 19:29:06
234;2018-01-01 19:30:45;2018-01-01 19:34:00
235;2018-01-01 19:35:53;2018-01-01 19:38:45
236;2018-01-01 19:40:39;2018-01-01 19:43:59
237;2018-01-01 19:45:53;2018-01-01 19:49:01
238;2018-01-01 19:50:58;2018-01-01 19:53:59
239;2018-01-01 19:56:05;2018-01-01 19:59:01
240;2018-01-01 20:00:59;2018-01-01 20:03:57
241;2018-01-01 20:05:57;2018-01-01 20:09:08
242;2018-01-01 20:10:44;2018-01-01 20:13:49
243;2018-01-01 20:16:05;2018-01-01 20:19:08
244;2018-01-01 20:21:01;2018-01-01 20:24:01
245;2018-01-01 20:26:22;2018-01-01 20:29:27
246;2018-01-01 20:31:10;2018-01-01 20:34:06
247;2018-01-01 20:35:57;2018-01-01 20:39:12
248;2018-01-01 20:40:53;2018-01-01 20:44:05
249;2018-01-01 20:45:57;2018-01-01 20:49:08
250;2018-01-01 20:51:03;2018-01-01 20:54:13
251;2018-01-01 20:55:50;2018-01-01 20:58:49
252;2018-01-01 21:01:09;2018-01-01 21:03:44
253;2018-01-01 21:05:34;2018-01-01 21:08:54
254;2018-01-01 21:10:46;2018-01-01 21:13:59
255;2018-01-01 21:15:53;2018-01-01 21:19:12
256;2018-01-01 21:21:11;2018-01-01 21:24:06
257;2018-01-01 21:26:00;2018-01-01 21:29:00
258;2018-01-01 21:30:54;2018-01-01 21:33:42
259;2018-01-01 21:35:56;2018-01-01 21:38:42
260;2018-01-01 21:41:03;2018-01-01 21:43:46
261;2018-01-01 21:46:05;2018-01-01 21:48:50
262;2018-01-01 21:50:51;2018-01-01 21:53:55
263;2018-01-01 21:55:41;2018-01-01 21:58:56
264;2018-01-01 22:01:05;2018-01-01 22:04:00
265;2018-01-01 22:06:05;2018-01-01 22:09:03
266;2018-01-01 22:10:57;2018-01-01 22:13:50
267;2018-01-01 22:15:53;2018-01-01 22:18:47
268;2018-01-01 22:20:52;2018-01-01 22:23:55
269;2018-01-01 22:26:12;2018-01-01 22:28:56
270;2018-01-01 22:31:02;2018-01-01 22:33:55
271;2018-01-01 22:35:54;2018-01-01 22:38:37
272;2018-01-01 22:40:54;2018-01-01 22:44:17
273;2018-01-01 22:45:56;2018-01-01 22:48:49
274;2018-01-01 22:50:52;2018-01-01 22:54:02
275;2018-01-01 22:56:03;2018-01-01 22:58:51
276;2018-01-01 23:00:53;2018-01-01 23:03:50
277;2018-01-01 23:06:14;2018-01-01 23:09:10
278;2018-01-01 23:10:51;2018-01-01 23:14:06
279;2018-01-01 23:15:52;2018-01-01 23:19:04
280;2018-01-01 23:21:18;2018-01-01 23:23:58
281;2018-01-01 23:25:56;2018-01-01 23:28:57
282;2018-01-01 23:30:42;2018-01-01 23:34:00
283;2018-01-01 23:35:58;2018-01-01 23:39:20
284;2018-01-01 23:41:06;2018-01-01 23:44:14
285;2018-01-01 23:45:56;2018-01-01 23:49:02
286;2018-01-01 23:51:07;2018-01-01 23:54:16
287;2018-01-01 23:56:03;2018-01-01 23:58:54
288;2018-01-02 00:00:59;2018-01-02 00:04:07
289;2018-01-02 00:06:04;2018-01-02 00:09:01
290;2018-01-02 00:11:09;2018-01-02 00:13:57
291;2018-01-02 00:16:04;2018-01-02 00:19:13
292;2018-01-02 00:21:00;2018-01-02 00:23:54
293;2018-01-02 00:26:01;2018-01-02 00:28:56
294;2018-01-02 00:30:55;2018-01-02 00:33:47
295;2018-01-02 00:36:10;2018-01-02 00:39:04
296;2018-01-02 00:40:51;2018-01-02 00:44:06
297;2018-01-02 00:45:44;2018-01-02 00:49:07
298;2018-01-02 00:51:00;2018-01-02 00:53:56
299;2018-01-02 00:56:08;2018-01-02 00:59:07
300;2018-01-02 01:01:02;2018-01-02 01:03:46
301;2018-01-02 01:06:03;2018-01-02 01:09:05
302;2018-01-02 01:11:01;2018-01-02 01:13:37
303;2018-01-02 01:15:36;2018-01-02 01:18:51
304;2018-01-02 01:21:22;2018-01-02 01:23:50
305;2018-01-02 01:26:07;2018-01-02 01:28:58
306;2018-01-02 01:30:59;2018-01-02 01:33:54
307;2018-01-02 01:36:03;2018-01-02 01:38:53
308;2018-01-02 01:41:02;2018-01-02 01:43:59
309;2018-01-02 01:45:57;2018-01-02 01:49:09
310;2018-01-02 01:50:55;2018-01-02 01:54:14
311;2018-01-02 01:56:08;2018-01-02 01:58:46
312;2018-01-02 02:01:04;2018-01-02 02:04:04
313;2018-01-02 02:06:03;2018-01-02 02:08:57
314;2018-01-02 02:11:00;2018-01-02 02:13:56
315;2018-01-02 02:15:55;2018-01-02 02:19:00
316;2018-01-02 02:20:52;2018-01-02 02:23:55
317;2018-01-02 02:25:58;2018-01-02 02:28:55
318;2018-01-02 02:31:12;2018-01-02 02:34:12
319;2018-01-02 02:35:55;2018-01-02 02:38:57
320;2018-01-02 02:41:07;2018-01-02 02:43:55
321;2018-01-02 02:45:59;2018-01-02 02:48:47
322;2018-01-02 02:50:55;2018-01-02 02:53:48
323;2018-01-02 02:56:02;2018-01-02 02:59:04
324;2018-01-02 03:01:13;2018-01-02 03:04:00
325;2018-01-02 03:06:11;2018-01-02 03:09:16
326;2018-01-02 03:11:04;2018-01-02 03:14:08
327;2018-01-02 03:16:16;2018-01-02 03:18:50
328;2018-01-02 03:21:12;2018-01-02 03:24:15
329;2018-01-02 03:25:57;2018-01-02 03:29:04
330;2018-01-02 03:31:04;2018-01-02 03:34:07
331;2018-01-02 03:36:11;2018-01-02 03:39:07
332;2018-01-02 03:41:05;2018-01-02 03:44:10
333;2018-01-02 03:46:05;2018-01-02 03:48:57
334;2018-01-02 03:50:58;2018-01-02 03:54:05
335;2018-01-02 03:55:52;2018-01-02 03:58:51
336;2018-01-02 04:01:07;2018-01-02 04:03:57
337;2018-01-02 04:06:16;2018-01-02 04:08:55
338;2018-01-02 04:11:01;2018-01-02 04:14:07
339;2018-01-02 04:15:47;2018-01-02 04:19:06
340;2018-01-02 04:21:09;2018-01-02 04:24:01
341;2018-01-02 04:26:15;2018-01-02 04:28:58
342;2018-01-02 04:31:03;2018-01-02 04:34:02
343;2018-01-02 04:36:02;2018-01-02 04:39:04
344;2018-01-02 04:40:51;2018-01-02 04:44:06
345;2018-01-02 04:45:41;2018-01-02 04:49:00
346;2018-01-02 04:51:09;2018-01-02 04:54:01
347;2018-01-02 04:56:01;2018-01-02 04:58:56
348;2018-01-02 05:01:01;2018-01-02 05:04:11
349;2018-01-02 05:06:06;2018-01-02 05:09:06
350;2018-01-02 05:10:57;2018-01-02 05:13:54
351;2018-01-02 05:15:48;2018-01-02 05:18:51
352;2018-01-02 05:20:56;2018-01-02 05:23:50
353;2018-01-02 05:26:09;2018-01-02 05:29:00
354;2018-01-02 05:31:12;2018-01-02 05:33:50
355;2018-01-02 05:36:00;2018-01-02 05:39:07
356;2018-01-02 05:41:11;2018-01-02 05:44:07
357;2018-01-02 05:45:53;2018-01-02 05:49:17
358;2018-01-02 05:51:02;2018-01-02 05:53:49
359;2018-01-02 05:55:50;2018-01-02 05:58:48
360;2018-01-02 06:01:03;2018-01-02 06:04:01
361;2018-01-02 06:06:01;2018-01-02 06:09:09
362;2018-01-02 06:11:09;2018-01-02 06:13:57
363;2018-01-02 06:15:38;2018-01-02 06:18:54
364;2018-01-02 06:21:11;2018-01-02 06:24:20
365;2018-01-02 06:26:00;2018-01-02 06:28:55
366;2018-01-02 06:31:05;2018-01-02 06:33:57
367;2018-01-02 06:36:31;2018-01-02 06:38:53
368;2018-01-02 06:41:09;2018-01-02 06:44:09
369;2018-01-02 06:46:00;2018-01-02 06:49:01
370;2018-01-02 06:50:52;2018-01-02 06:53:45
371;2018-01-02 06:56:13;2018-01-02 06:58:47
372;2018-01-02 07:00:59;2018-01-02 07:04:07
373;2018-01-02 07:06:07;2018-01-02 07:08:46
374;2018-01-02 07:10:59;2018-01-02 07:14:12
375;2018-01-02 07:16:04;2018-01-02 07:19:04
376;2018-01-02 07:21:03;2018-01-02 07:24:06
377;2018-01-02 07:26:00;2018-01-02 07:29:04
378;2018-01-02 07:31:07;2018-01-02 07:33:45
379;2018-01-02 07:35:43;2018-01-02 07:38:57
380;2018-01-02 07:41:01;2018-01-02 07:44:01
381;2018-01-02 07:45:42;2018-01-02 07:48:58
382;2018-01-02 07:51:01;2018-01-02 07:53:55
383;2018-01-02 07:56:17;2018-01-02 07:59:08
384;2018-01-02 08:00:53;2018-01-02 08:04:00
385;2018-01-02 08:06:10;2018-01-02 08:09:13
386;2018-01-02 08:10:48;2018-01-02 08:13:50
387;2018-01-02 08:16:01;2018-01-02 08:19:05
388;2018-01-02 08:20:52;2018-01-02 08:23:50
389;2018-01-02 08:25:51;2018-01-02 08:28:55
390;2018-01-02 08:31:12;2018-01-02 08:33:47
391;2018-01-02 08:35:47;2018-01-02 08:39:00
392;2018-01-02 08:41:12;2018-01-02 08:44:02
393;2018-01-02 08:45:58;2018-01-02 08:48:51
394;2018-01-02 08:50:57;2018-01-02 08:53:46
395;2018-01-02 08:56:16;2018-01-02 08:58:43
396;2018-01-02 09:01:03;2018-01-02 09:04:03
397;2018-01-02 09:06:14;2018-01-02 09:08:58
398;2018-01-02 09:10:49;2018-01-02 09:14:07
399;2018-01-02 09:16:03;2018-01-02 09:18:59
400;2018-01-02 09:21:04;2018-01-02 09:23:48
401;2018-01-02 09:25:59;2018-01-02 09:29:05
402;2018-01-02 09:31:02;2018-01-02 09:33:49
403;2018-01-02 09:36:08;2018-01-02 09:39:09
404;2018-01-02 09:40:40;2018-01-02 09:43:59
405;2018-01-02 09:45:54;2018-01-02 09:49:11
406;2018-01-02 09:50:40;2018-01-02 09:54:07
407;2018-01-02 09:56:05;2018-01-02 09:59:01
408;2018-01-02 10:00:44;2018-01-02 10:03:59
409;2018-01-02 10:06:10;2018-01-02 10:08:40
410;2018-01-02 10:11:12;2018-01-02 10:14:00
411;2018-01-02 10:16:03;2018-01-02 10:18:56
412;2018-01-02 10:20:55;2018-01-02 10:23:59
413;2018-01-02 10:26:13;2018-01-02 10:29:10
414;2018-01-02 10:31:02;2018-01-02 10:34:07
415;2018-01-02 10:35:56;2018-01-02 10:39:13
416;2018-01-02 10:40:54;2018-01-02 10:43:56
417;2018-01-02 10:45:57;2018-01-02 10:49:09
418;2018-01-02 10:51:19;2018-01-02 10:53:47
419;2018-01-02 10:55:49;2018-01-02 10:59:12
420;2018-01-02 11:01:11;2018-01-02 11:03:41
421;2018-01-02 11:06:08;2018-01-02 11:09:04
422;2018-01-02 11:10:44;2018-01-02 11:14:06
423;2018-01-02 11:16:03;2018-01-02 11:19:11
424;2018-01-02 11:20:48;2018-01-02 11:24:13
425;2018-01-02 11:25:46;2018-01-02 11:28:58
426;2018-01-02 11:31:13;2018-01-02 11:33:57
427;2018-01-02 11:35:46;2018-01-02 11:39:14
428;2018-01-02 11:41:12;2018-01-02 11:43:55
429;2018-01-02 11:46:07;2018-01-02 11:49:02
430;2018-01-02 11:50:54;2018-01-02 11:54:16
431;2018-01-02 11:55:58;2018-01-02 11:59:00
432;2018-01-02 12:01:06;2018-01-02 12:03:44
433;2018-01-02 12:06:15;2018-01-02 12:09:12
434;2018-01-02 12:11:04;2018-01-02 12:13:59
435;2018-01-02 12:16:06;2018-01-02 12:19:01
436;2018-01-02 12:20:59;2018-01-02 12:24:06
437;2018-01-02 12:25:50;2018-01-02 12:29:07
438;2018-01-02 12:30:59;2018-01-02 12:34:18
439;2018-01-02 12:35:53;2018-01-02 12:38:49
440;2018-01-02 12:40:46;2018-01-02 12:44:07
441;2018-01-02 12:46:14;2018-01-02 12:48:48
442;2018-01-02 12:51:00;2018-01-02 12:53:51
443;2018-01-02 12:56:02;2018-01-02 12:59:08
444;2018-01-02 13:00:53;2018-01-02 13:04:17
445;2018-01-02 13:06:00;2018-01-02 13:09:03
446;2018-01-02 13:11:13;2018-01-02 13:13:32
447;2018-01-02 13:15:53;2018-01-02 13:18:54
448;2018-01-02 13:21:15;2018-01-02 13:24:20
449;2018-01-02 13:26:15;2018-01-02 13:28:57
450;2018-01-02 13:30:51;2018-01-02 13:33:54
451;2018-01-02 13:35:51;2018-01-02 13:39:04
452;2018-01-02 13:41:00;2018-01-02 13:43:54
453;2018-01-02 13:46:31;2018-01-02 13:49:24
454;2018-01-02 13:50:58;2018-01-02 13:54:07
455;2018-01-02 13:56:29;2018-01-02 13:59:00
456;2018-01-02 14:00:53;2018-01-02 14:03:56
457;2018-01-02 14:06:06;2018-01-02 14:09:16
458;2018-01-02 14:11:04;2018-01-02 14:13:59
459;2018-01-02 14:15:51;2018-01-02 14:19:03
460;2018-01-02 14:21:07;2018-01-02 14:24:06
461;2018-01-02 14:25:51;2018-01-02 14:28:57
462;2018-01-02 14:30:53;2018-01-02 14:33:56
463;2018-01-02 14:35:52;2018-01-02 14:39:05
464;2018-01-02 14:40:44;2018-01-02 14:43:46
465;2018-01-02 14:45:52;2018-01-02 14:49:25
466;2018-01-02 14:50:59;2018-01-02 14:53:37
467;2018-01-02 14:56:00;2018-01-02 14:58:47
468;2018-01-02 15:00:50;2018-01-02 15:03:51
469;2018-01-02 15:06:03;2018-01-02 15:09:15
470;2018-01-02 15:10:58;2018-01-02 15:14:07
471;2018-01-02 15:15:44;2018-01-02 15:18:53
472;2018-01-02 15:21:08;2018-01-02 15:24:04
473;2018-01-02 15:26:04;2018-01-02 15:28:51
474;2018-01-02 15:31:16;2018-01-02 15:33:51
475;2018-01-02 15:35:57;2018-01-02 15:39:13
476;2018-01-02 15:41:01;2018-01-02 15:43:46
477;2018-01-02 15:45:56;2018-01-02 15:49:04
478;2018-01-02 15:50:53;2018-01-02 15:54:06
479;2018-01-02 15:55:59;2018-01-02 15:59:15
480;2018-01-02 16:00:59;2018-01-02 16:04:01
481;2018-01-02 16:05:56;2018-01-02 16:09:10
482;2018-01-02 16:11:05;2018-01-02 16:14:04
483;2018-01-02 16:16:08;2018-01-02 16:18:51
484;2018-01-02 16:21:12;2018-01-02 16:24:06
485;2018-01-02 16:25:51;2018-01-02 16:28:43
486;2018-01-02 16:31:12;2018-01-02 16:34:04
487;2018-01-02 16:35:50;2018-01-02 16:38:53
488;2018-01-02 16:40:55;2018-01-02 16:43:51
489;2018-01-02 16:46:02;2018-01-02 16:49:04
490;2018-01-02 16:50:57;2018-01-02 16:54:00
491;2018-01-02 16:55:59;2018-01-02 16:58:47
492;2018-01-02 17:01:01;2018-01-02 17:03:56
493;2018-01-02 17:05:56;2018-01-02 17:08:53
494;2018-01-02 17:10:41;2018-01-02 17:14:01
495;2018-01-02 17:16:07;2018-01-02 17:19:13
496;2018-01-02 17:20:47;2018-01-02 17:23:46
497;2018-01-02 17:25:57;2018-01-02 17:29:01
498;2018-01-02 17:31:03;2018-01-02 17:33:56
